Annotation Cluster 1	Enrichment Score: 9.445469984057025
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0005840~ribosome	14	15.384615384615385	5.735389672305206E-10	RPS9, RPS2, RPS4X, RPS3, RPS18, RPL7, RPL13A, RPS3A, RPLP0, RPL8, RPL3, RPL7A, RPL4, RPS27A	87	192	12504	10.479885057471265	1.1585487014187379E-7	1.2872763965887657E-8	7.200429252840479E-7
GOTERM_CC_FAT	GO:0030529~ribonucleoprotein complex	18	19.78021978021978	1.2585351077150637E-8	DDX1, RPS9, RPS2, RPS4X, RPS3, RPS18, RPL7, RPL13A, RPS3A, SND1, RPLP0, RPL8, RPL3, PABPC1, RPL4, RPL7A, RPS27A, MVP	87	462	12504	5.599641737572772	2.542237705571715E-6	1.8158862191697267E-7	1.5800133124077576E-5
GOTERM_BP_FAT	GO:0006412~translation	14	15.384615384615385	3.3825841517814514E-8	EEF1A1, RPS9, RPS2, RPS4X, RPS3, RPS18, RPL7, RPL13A, RPS3A, RPLP0, RPL8, RPL3, RPL4, RPS27A	80	319	13588	7.45423197492163	2.344103386064944E-5	2.344103386064944E-5	5.094281452233673E-5
GOTERM_MF_FAT	GO:0005198~structural molecule activity	16	17.582417582417584	1.6802593107333366E-7	CLTB, RPS9, CLTC, RPS2, RPS4X, RPS3, RPS18, RPL7, RPL13A, RPS3A, RPLP0, RPL8, MYH11, RPL3, RPL4, RPS27A	87	450	13288	5.430600255427842	2.940410809615379E-5	4.900744725588879E-6	2.0599149040956277E-4
SP_PIR_KEYWORDS	ribosome	5	5.4945054945054945	4.968143388364869E-6	RPL7, RPLP0, RPS2, RPS27A, RPS3	91	23	17854	42.651696129957	8.094815768013852E-4	4.763471154445309E-5	0.006017838550009813
GOTERM_CC_FAT	GO:0033279~ribosomal subunit	6	6.593406593406594	8.796624154457214E-5	RPL7, RPL13A, RPS9, RPS4X, RPS2, RPS3	87	66	12504	13.065830721003135	0.017613007668547453	8.07399440331702E-4	0.11038010002404341

Annotation Cluster 3	Enrichment Score: 6.599414299645337
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	atp-binding	28	30.76923076923077	9.130546739014266E-11	ASS1, MTHFD1, ACSL1, HSPA2, DDX3X, ABCD3, HSPA5, HSPA8, MYO5B, ACTB, EGFR, MYO6, MYO1C, PIK3C2A, MYO1B, MYO1D, DDX1, CPS1, MYH9, GAK, HSP90B1, MYH11, BMP2K, MYH14, SLC27A2, MYO18A, SLC27A5, MYH10	91	1287	17854	4.268483653099038	1.4882799437287986E-8	1.8603499851721494E-9	1.1060007354402046E-7
SP_PIR_KEYWORDS	nucleotide-binding	30	32.967032967032964	7.57014970628116E-10	ASS1, MTHFD1, ACSL1, HSPA2, DDX3X, ABCD3, HSPA5, MYO5B, HSPA8, ACTB, EGFR, EEF1A1, MYO6, MYO1C, PIK3C2A, MYO1B, MYO1D, DDX1, MYH9, CPS1, GAK, HSP90B1, PYGL, MYH11, BMP2K, MYH14, SLC27A2, MYO18A, SLC27A5, MYH10	91	1631	17854	3.608788513754792	1.2339343846701212E-7	1.2339344546141717E-8	9.169863868230266E-7
GOTERM_MF_FAT	GO:0030554~adenyl nucleotide binding	29	31.868131868131865	1.8577953327007284E-7	ASS1, MTHFD1, FMO5, ACSL1, HSPA2, DDX3X, ABCD3, HSPA5, HSPA8, MYO5B, ACTB, EGFR, MYO6, MYO1C, PIK3C2A, MYO1B, MYO1D, DDX1, MYH9, CPS1, GAK, HSP90B1, MYH11, BMP2K, MYH14, SLC27A2, MYO18A, SLC27A5, MYH10	87	1535	13288	2.885559174809989	3.251089285916109E-5	4.6444779786547485E-6	2.2775650692086202E-4
GOTERM_MF_FAT	GO:0005524~ATP binding	28	30.76923076923077	2.001984022639898E-7	ASS1, MTHFD1, ACSL1, HSPA2, DDX3X, ABCD3, HSPA5, HSPA8, MYO5B, ACTB, EGFR, MYO6, MYO1C, PIK3C2A, MYO1B, MYO1D, DDX1, CPS1, MYH9, GAK, HSP90B1, MYH11, BMP2K, MYH14, SLC27A2, MYO18A, SLC27A5, MYH10	87	1443	13288	2.963685170581722	3.503411020078229E-5	4.379330899362266E-6	2.4543330626736193E-4
GOTERM_MF_FAT	GO:0001883~purine nucleoside binding	29	31.868131868131865	2.2178039439883003E-7	ASS1, MTHFD1, FMO5, ACSL1, HSPA2, DDX3X, ABCD3, HSPA5, HSPA8, MYO5B, ACTB, EGFR, MYO6, MYO1C, PIK3C2A, MYO1B, MYO1D, DDX1, MYH9, CPS1, GAK, HSP90B1, MYH11, BMP2K, MYH14, SLC27A2, MYO18A, SLC27A5, MYH10	87	1548	13288	2.8613264427217913	3.8810820161439E-5	4.312387737237522E-6	2.718917245014829E-4
GOTERM_MF_FAT	GO:0001882~nucleoside binding	29	31.868131868131865	2.5379634224769374E-7	ASS1, MTHFD1, FMO5, ACSL1, HSPA2, DDX3X, ABCD3, HSPA5, HSPA8, MYO5B, ACTB, EGFR, MYO6, MYO1C, PIK3C2A, MYO1B, MYO1D, DDX1, MYH9, CPS1, GAK, HSP90B1, MYH11, BMP2K, MYH14, SLC27A2, MYO18A, SLC27A5, MYH10	87	1558	13288	2.842961061189559	4.441337923100086E-5	4.441426690315886E-6	3.111416269629963E-4
GOTERM_MF_FAT	GO:0032559~adenyl ribonucleotide binding	28	30.76923076923077	2.541281441394906E-7	ASS1, MTHFD1, ACSL1, HSPA2, DDX3X, ABCD3, HSPA5, HSPA8, MYO5B, ACTB, EGFR, MYO6, MYO1C, PIK3C2A, MYO1B, MYO1D, DDX1, CPS1, MYH9, GAK, HSP90B1, MYH11, BMP2K, MYH14, SLC27A2, MYO18A, SLC27A5, MYH10	87	1460	13288	2.9291765076365928	4.4471442001037254E-5	4.042940089599156E-6	3.1154839894576014E-4
GOTERM_MF_FAT	GO:0000166~nucleotide binding	33	36.26373626373626	2.617369429162385E-6	ASS1, HADHA, MTHFD1, FMO5, ACSL1, HSPA2, DDX3X, ABCD3, PABPC1, HSPA5, MYO5B, HSPA8, ACTB, EGFR, EEF1A1, MYO6, MYO1C, PIK3C2A, MYO1B, MYO1D, DDX1, MYH9, CPS1, GAK, HSP90B1, PYGL, MYH11, BMP2K, MYH14, SLC27A2, MYO18A, SLC27A5, MYH10	87	2183	13288	2.3088757957255908	4.579353651184004E-4	3.816929232891564E-5	0.003208721366998457
GOTERM_MF_FAT	GO:0017076~purine nucleotide binding	30	32.967032967032964	3.1861547799597206E-6	ASS1, MTHFD1, FMO5, ACSL1, HSPA2, DDX3X, ABCD3, HSPA5, HSPA8, MYO5B, ACTB, EGFR, EEF1A1, MYO6, MYO1C, PIK3C2A, MYO1B, MYO1D, DDX1, MYH9, CPS1, GAK, HSP90B1, MYH11, BMP2K, MYH14, SLC27A2, MYO18A, SLC27A5, MYH10	87	1871	13288	2.4489946368344424	5.574225570553759E-4	4.2889693654402095E-5	0.00390600198445501
GOTERM_MF_FAT	GO:0032555~purine ribonucleotide binding	29	31.868131868131865	4.538164027482855E-6	ASS1, MTHFD1, ACSL1, HSPA2, DDX3X, ABCD3, HSPA5, HSPA8, MYO5B, ACTB, EGFR, EEF1A1, MYO6, MYO1C, PIK3C2A, MYO1B, MYO1D, DDX1, MYH9, CPS1, GAK, HSP90B1, MYH11, BMP2K, MYH14, SLC27A2, MYO18A, SLC27A5, MYH10	87	1796	13288	2.4662212323682255	7.938652289962711E-4	5.672557010594215E-5	0.005563428019117467
GOTERM_MF_FAT	GO:0032553~ribonucleotide binding	29	31.868131868131865	4.538164027482855E-6	ASS1, MTHFD1, ACSL1, HSPA2, DDX3X, ABCD3, HSPA5, HSPA8, MYO5B, ACTB, EGFR, EEF1A1, MYO6, MYO1C, PIK3C2A, MYO1B, MYO1D, DDX1, MYH9, CPS1, GAK, HSP90B1, MYH11, BMP2K, MYH14, SLC27A2, MYO18A, SLC27A5, MYH10	87	1796	13288	2.4662212323682255	7.938652289962711E-4	5.672557010594215E-5	0.005563428019117467
UP_SEQ_FEATURE	nucleotide phosphate-binding region:ATP	18	19.78021978021978	1.0153484950914862E-5	EGFR, MYO6, ASS1, MYO1C, MYO1B, MYO1D, DDX1, MYH9, GAK, MTHFD1, DDX3X, BMP2K, MYH11, ABCD3, MYH14, MYO18A, MYO5B, MYH10	91	907	16021	3.4939239371433417	0.004022840599862021	0.001342749034609625	0.014145695791145663

Annotation Cluster 4	Enrichment Score: 4.533078596072709
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	myosin	11	12.087912087912088	2.816697689689464E-14	MYO6, MYO1C, MYO1B, MYO1D, MYH11, MYL12B, MYH14, MYH9, MYO18A, MYO5B, MYH10	91	47	17854	45.91863455693243	4.596545366553073E-12	1.5322187962851785E-12	3.4161562467716067E-11
UP_SEQ_FEATURE	domain:Myosin head-like	10	10.989010989010989	3.3757695498345955E-14	MYO6, MYO1C, MYO1B, MYO1D, MYH11, MYH14, MYH9, MYO18A, MYO5B, MYH10	91	29	16021	60.7086017430845	1.339905963959609E-11	1.339905963959609E-11	4.702904732312163E-11
SMART	SM00242:MYSc	10	10.989010989010989	2.0187081618039336E-13	MYO6, MYO1C, MYO1B, MYO1D, MYH11, MYH14, MYH9, MYO18A, MYO5B, MYH10	49	38	9131	49.038668098818476	9.688250202088966E-12	9.688250202088966E-12	1.9262369477246466E-10
INTERPRO	IPR001609:Myosin head, motor region	10	10.989010989010989	2.1100271451288438E-13	MYO6, MYO1C, MYO1B, MYO1D, MYH11, MYH14, MYH9, MYO18A, MYO5B, MYH10	91	38	17763	51.367842683632155	5.7406523978897894E-11	5.7406523978897894E-11	2.778111074519529E-10
SP_PIR_KEYWORDS	actin-binding	16	17.582417582417584	4.2600228356338275E-13	LIMA1, MYO6, ACTN4, MYO1C, MYO1B, MYO1D, RDX, MYH9, FLNB, CAPZB, TPM3, SVIL, MYH11, MYH14, MYO5B, MYH10	91	226	17854	13.890109890109892	6.943678965143363E-11	1.7359225168434023E-11	5.160094573852803E-10
GOTERM_CC_FAT	GO:0015629~actin cytoskeleton	17	18.681318681318682	5.337060217350416E-13	LIMA1, MYO6, ACTN4, MYO1C, MYO1B, MYO1D, MYL12B, MYH9, FLNB, CAPZB, TPM3, SVIL, MYH11, MYH14, MYO18A, MYO5B, MYH10	87	205	12504	11.918587047939445	1.0780421000333718E-10	1.0780421000333718E-10	6.700084931310357E-10
GOTERM_CC_FAT	GO:0016459~myosin complex	11	12.087912087912088	9.378730733134535E-12	MYO6, MYO1C, MYO1B, MYO1D, MYH11, MYL12B, MYH14, MYH9, MYO18A, MYO5B, MYH10	87	61	12504	25.91746749576032	1.8945014446103414E-9	9.472507223051707E-10	1.177440367428062E-8
SMART	SM00015:IQ	11	12.087912087912088	3.124716466320606E-11	MYO6, MYO1C, MYO1B, MYO1D, MYH11, IQGAP2, MYH14, MYH9, MYO18A, MYO5B, MYH10	49	92	9131	22.28061224489796	1.4998615682770833E-9	7.499307841385416E-10	2.982092350833909E-8
INTERPRO	IPR000048:IQ calmodulin-binding region	11	12.087912087912088	3.426360983914953E-11	MYO6, MYO1C, MYO1B, MYO1D, MYH11, IQGAP2, MYH14, MYH9, MYO18A, MYO5B, MYH10	91	92	17763	23.338867654085046	9.31969701412072E-9	4.65984850706036E-9	4.5101888890286546E-8
GOTERM_MF_FAT	GO:0003779~actin binding	16	17.582417582417584	4.162395355895541E-10	LIMA1, MYO6, ACTN4, MYO1C, MYO1B, MYO1D, RDX, MYH9, FLNB, CAPZB, TPM3, SVIL, MYH11, MYH14, MYO5B, MYH10	87	288	13288	8.485312899106003	7.28419076168052E-8	3.6420954474536416E-8	5.102895328512602E-7
SP_PIR_KEYWORDS	motor protein	11	12.087912087912088	5.976977563619915E-10	MYO6, MYO1C, MYO1B, MYO1D, MYH11, MYL12B, MYH14, MYH9, MYO18A, MYO5B, MYH10	91	123	17854	17.54614491199857	9.742473350282665E-8	1.0824970808620549E-8	7.240024579857618E-7
SP_PIR_KEYWORDS	calmodulin-binding	10	10.989010989010989	2.379156066573983E-9	MYO6, MYO1C, MYO1B, MYO1D, MYH11, IQGAP2, MYH14, MYH9, MYO5B, MYH10	91	103	17854	19.048330310466234	3.878023686620935E-7	3.525476699461905E-8	2.8819160835524826E-6
GOTERM_CC_FAT	GO:0001725~stress fiber	7	7.6923076923076925	8.152487504519664E-9	LIMA1, ACTN4, MYH11, MYH14, MYH9, FLNB, MYH10	87	23	12504	43.74212893553223	1.6468011182491082E-6	1.3723353009531536E-7	1.0234946123954813E-5
GOTERM_CC_FAT	GO:0032432~actin filament bundle	7	7.6923076923076925	1.0810391062735213E-8	LIMA1, ACTN4, MYH11, MYH14, MYH9, FLNB, MYH10	87	24	12504	41.91954022988506	2.18369661497686E-6	1.6797683199953894E-7	1.3571780221877106E-5
GOTERM_MF_FAT	GO:0003774~motor activity	11	12.087912087912088	1.9025923252976435E-8	MYO6, MYO1C, MYO1B, MYO1D, MYH11, MYL12B, MYH14, MYH9, MYO18A, MYO5B, MYH10	87	138	13288	12.174579376978178	3.329531062967739E-6	1.1098449194113513E-6	2.332486156442215E-5
GOTERM_CC_FAT	GO:0042641~actomyosin	7	7.6923076923076925	2.3385889441493834E-8	LIMA1, ACTN4, MYH11, MYH14, MYH9, FLNB, MYH10	87	27	12504	37.26181353767561	4.723938565764918E-6	3.1492993202153485E-7	2.935954194205337E-5
GOTERM_MF_FAT	GO:0005516~calmodulin binding	10	10.989010989010989	4.845589343240889E-8	MYO6, MYO1C, MYO1B, MYO1D, MYH11, IQGAP2, MYH14, MYH9, MYO5B, MYH10	87	114	13288	13.397862472272637	8.479745598699573E-6	2.119943140921343E-6	5.9404571417509544E-5
GOTERM_MF_FAT	GO:0008092~cytoskeletal protein binding	16	17.582417582417584	5.6674412962461006E-8	LIMA1, MYO6, ACTN4, MYO1C, MYO1B, MYO1D, RDX, MYH9, FLNB, CAPZB, TPM3, SVIL, MYH11, MYH14, MYO5B, MYH10	87	414	13288	5.90282636459548	9.917973362250088E-6	1.9836025417774295E-6	6.948007390539246E-5
GOTERM_CC_FAT	GO:0043232~intracellular non-membrane-bounded organelle	34	37.362637362637365	1.6152920749376388E-7	LIMA1, RDX, RPS2, CAPZB, RPS3, TPM3, RPL7, RPS3A, RPLP0, RPL8, RPL3, RPL7A, RPL4, MYO5B, RPS27A, ACTB, MYO6, MYO1C, HIST1H1C, ACTN4, MYO1B, MYO1D, RPS9, MYL12B, MYH9, RPS4X, FLNB, RPS18, RPL13A, SVIL, MYH11, MYH14, MYO18A, MYH10	87	1919	12504	2.5464412139943575	3.262837022410814E-5	2.0393043294042457E-6	2.0278979625532045E-4
GOTERM_CC_FAT	GO:0043228~non-membrane-bounded organelle	34	37.362637362637365	1.6152920749376388E-7	LIMA1, RDX, RPS2, CAPZB, RPS3, TPM3, RPL7, RPS3A, RPLP0, RPL8, RPL3, RPL7A, RPL4, MYO5B, RPS27A, ACTB, MYO6, MYO1C, HIST1H1C, ACTN4, MYO1B, MYO1D, RPS9, MYL12B, MYH9, RPS4X, FLNB, RPS18, RPL13A, SVIL, MYH11, MYH14, MYO18A, MYH10	87	1919	12504	2.5464412139943575	3.262837022410814E-5	2.0393043294042457E-6	2.0278979625532045E-4
UP_SEQ_FEATURE	region of interest:Actin-binding	5	5.4945054945054945	9.079549805532594E-6	MYO6, MYO1B, MYH11, MYH9, MYO5B	91	24	16021	36.67811355311355	0.003598108873632544	0.001800675653220285	0.012649591938762583
UP_SEQ_FEATURE	domain:IQ	6	6.593406593406594	1.1602589176736965E-5	MYO6, MYH11, MYH14, MYH9, MYO18A, MYH10	91	53	16021	19.930748496786233	0.004595662104819209	0.0011509008613805882	0.01616441643090827
GOTERM_MF_FAT	GO:0051015~actin filament binding	6	6.593406593406594	1.53909353020429E-5	LIMA1, MYO6, ACTN4, MYH14, MYH9, MYH10	87	49	13288	18.702322308233637	0.002689810365129053	1.6832548199741115E-4	0.01886690934124191
UP_SEQ_FEATURE	domain:IQ 2	5	5.4945054945054945	1.7197342461830156E-5	MYO1C, MYO1B, MYO1D, IQGAP2, MYO5B	91	28	16021	31.438383045525903	0.006804149894782396	0.0013645488881963708	0.023958010089086823
UP_SEQ_FEATURE	domain:IQ 1	5	5.4945054945054945	1.986349569079734E-5	MYO1C, MYO1B, MYO1D, IQGAP2, MYO5B	91	29	16021	30.35430087154225	0.007854874082927843	0.001125920833553451	0.027671811909013577
INTERPRO	IPR004009:Myosin, N-terminal, SH3-like	4	4.395604395604396	2.677238817855576E-5	MYH11, MYH14, MYH9, MYH10	91	12	17763	65.06593406593407	0.00725573618724884	0.0010397715005826536	0.03523531937627
INTERPRO	IPR002928:Myosin tail	4	4.395604395604396	4.397186636527366E-5	MYH11, MYH14, MYH9, MYH10	91	14	17763	55.77080062794349	0.011889366837875892	0.001328074063437712	0.05786561500890075
GOTERM_CC_FAT	GO:0044430~cytoskeletal part	17	18.681318681318682	6.47483644893707E-5	LIMA1, MYO6, ACTN4, MYO1C, MYO1B, MYO1D, MYL12B, MYH9, FLNB, CAPZB, TPM3, SVIL, MYH11, MYH14, MYO18A, MYO5B, MYH10	87	774	12504	3.1567317116635483	0.012994426912344204	6.226438421812475E-4	0.08125718960811934
GOTERM_CC_FAT	GO:0030863~cortical cytoskeleton	5	5.4945054945054945	2.09788891206249E-4	ACTB, ACTN4, MYH9, CAPZB, TPM3	87	43	12504	16.712109061748194	0.04149624775106342	0.0016287414584251758	0.2630580752664202
GOTERM_CC_FAT	GO:0005938~cell cortex	7	7.6923076923076925	2.261376967509963E-4	ACTB, ACTN4, MYH9, CAPZB, FLNB, MYH10, TPM3	87	126	12504	7.984674329501916	0.044657133562149176	0.0016906056279097914	0.28353136396576106
GOTERM_CC_FAT	GO:0005856~cytoskeleton	19	20.87912087912088	5.249562311019698E-4	ACTB, LIMA1, MYO6, ACTN4, MYO1C, MYO1B, MYO1D, RDX, MYL12B, MYH9, FLNB, CAPZB, TPM3, SVIL, MYH11, MYH14, MYO18A, MYO5B, MYH10	87	1122	12504	2.433831212735878	0.10063741180229724	0.003650871094958541	0.6570551988079543
GOTERM_BP_FAT	GO:0030029~actin filament-based process	7	7.6923076923076925	5.513085880283759E-4	LIMA1, ACTN4, MYH11, MYH14, MYH9, CAPZB, MYH10	80	176	13588	6.755397727272727	0.31761564249928187	0.04157356283696845	0.8270784981173507
GOTERM_MF_FAT	GO:0030898~actin-dependent ATPase activity	3	3.296703296703297	6.106462362205584E-4	MYH14, MYH9, MYH10	87	6	13288	76.36781609195403	0.10138063500945915	0.005077339486244559	0.7460545837860932
GOTERM_MF_FAT	GO:0000146~microfilament motor activity	3	3.296703296703297	8.513081656177696E-4	MYH14, MYH9, MYH10	87	7	13288	65.45812807881774	0.13846739632127802	0.006751757335880071	1.0386753540313487
INTERPRO	IPR010926:Myosin tail 2	3	3.296703296703297	8.930582757854571E-4	MYO1C, MYO1B, MYO1D	91	9	17763	65.06593406593407	0.2157444717578464	0.018520228838861064	1.1691878427214641
GOTERM_CC_FAT	GO:0044448~cell cortex part	5	5.4945054945054945	0.0015822406217518466	ACTB, ACTN4, MYH9, CAPZB, TPM3	87	73	12504	9.844119036372225	0.2737534524636055	0.008607758853876546	1.968348928422059
GOTERM_BP_FAT	GO:0030036~actin cytoskeleton organization	6	6.593406593406594	0.0027165826149460524	LIMA1, ACTN4, MYH11, MYH9, CAPZB, MYH10	80	165	13588	6.176363636363636	0.848194244647245	0.13498792079191668	4.014044022526719
KEGG_PATHWAY	mmu04530:Tight junction	7	7.6923076923076925	0.002914468503716367	ACTB, ACTN4, MYH11, MYL12B, MYH14, MYH9, MYH10	62	135	5738	4.798805256869773	0.21514326298881015	0.0395714421882567	3.077221716509504
KEGG_PATHWAY	mmu05416:Viral myocarditis	6	6.593406593406594	0.00305904627418734	ACTB, IGHG, MYH11, MYH14, MYH9, MYH10	62	94	5738	5.907343857240906	0.22453310182536024	0.035675227573892965	3.227613625546244
UP_SEQ_FEATURE	domain:IQ 3	3	3.296703296703297	0.003124686863937713	MYO1B, IQGAP2, MYO5B	91	15	16021	35.21098901098901	0.7113218328427968	0.10680409820879333	4.266675146643106
GOTERM_MF_FAT	GO:0042623~ATPase activity, coupled	7	7.6923076923076925	0.003215990628448168	DDX3X, DDX1, ABCD3, MYH14, MYH9, HSPA8, MYH10	87	223	13288	4.794392041647337	0.430903510589709	0.019931029274072976	3.8720459656336192
GOTERM_BP_FAT	GO:0030048~actin filament-based movement	3	3.296703296703297	0.0033366706261697974	MYH14, MYH9, MYH10	80	15	13588	33.97	0.9013501986057667	0.1524804409009174	4.9089542354076805
SP_PIR_KEYWORDS	cell shape	3	3.296703296703297	0.0069913665434491205	MYH14, MYH9, MYH10	91	25	17854	23.543736263736264	0.6813286847984323	0.029646273081228913	8.147407974238941
KEGG_PATHWAY	mmu04810:Regulation of actin cytoskeleton	8	8.791208791208792	0.007717800585979836	ACTB, EGFR, ACTN4, MYL12B, RDX, MYH14, MYH9, MYH10	62	217	5738	3.4119221049502	0.4743197631137376	0.06895842996527302	7.961929976830584
GOTERM_MF_FAT	GO:0016887~ATPase activity	7	7.6923076923076925	0.0097140988471625	DDX3X, DDX1, ABCD3, MYH14, MYH9, HSPA8, MYH10	87	281	13288	3.8048022252219083	0.8188224859658788	0.05198379891307425	11.278893009009195
GOTERM_BP_FAT	GO:0030030~cell projection organization	7	7.6923076923076925	0.010577756694044349	LIMA1, MYO6, NUMB, RDX, MYH9, CAPZB, MYH10	80	319	13588	3.727115987460815	0.9993697730020886	0.308209091567209	14.798659231170486
GOTERM_BP_FAT	GO:0007010~cytoskeleton organization	7	7.6923076923076925	0.011683918913691521	LIMA1, ACTN4, SVIL, MYH11, MYH9, CAPZB, MYH10	80	326	13588	3.647085889570552	0.9997097098456907	0.32147876614691606	16.221996479280154
GOTERM_BP_FAT	GO:0030705~cytoskeleton-dependent intracellular transport	3	3.296703296703297	0.01568322975325899	MYH14, MYH9, MYH10	80	33	13588	15.440909090909091	0.9999825226768569	0.3922165642788461	21.18495852775226
GOTERM_CC_FAT	GO:0042995~cell projection	10	10.989010989010989	0.01705820999159731	MYO6, ACTN4, MYO1C, SVIL, RDX, MYH14, MYH9, CAPZB, MYH10, TPM3	87	575	12504	2.4995502248875563	0.9690532163846364	0.08127455585494314	19.426705875850956
GOTERM_BP_FAT	GO:0008360~regulation of cell shape	3	3.296703296703297	0.030477580795561416	MYH14, MYH9, MYH10	80	47	13588	10.841489361702127	0.9999999995162797	0.5481596886305279	37.25820989786497
GOTERM_CC_FAT	GO:0001726~ruffle	3	3.296703296703297	0.041393649244969154	MYO6, RDX, MYH9	87	47	12504	9.173881144534116	0.9998044125539045	0.17284794126022407	41.182673299514214
GOTERM_CC_FAT	GO:0031252~cell leading edge	4	4.395604395604396	0.04190729851171322	MYO6, RDX, MYH9, CAPZB	87	112	12504	5.133004926108374	0.9998244820936134	0.1713811404888188	41.5771152983873
GOTERM_CC_FAT	GO:0030427~site of polarized growth	3	3.296703296703297	0.047974164874066146	MYH14, MYH10, TPM3	87	51	12504	8.454361054766736	0.9999513543213217	0.19046620357113253	46.05539879120656
GOTERM_CC_FAT	GO:0030426~growth cone	3	3.296703296703297	0.047974164874066146	MYH14, MYH10, TPM3	87	51	12504	8.454361054766736	0.9999513543213217	0.19046620357113253	46.05539879120656
