Description	lacZ 1	lacZ 2	lacZ 3	lacZ 4	lacZ 5	lacZ 6	HA cont 1	HA cont 2	HA cont 3	HA cont 4	HA chol 1	HA chol 2	HA chol 3	HA chol 4	HA bor 1	HA bor 2	HA bor 3	HA bor 4
CP1A2_MOUSE Cytochrome P450 1A2	0.811593064	1.354979694	0.54990729	1.672880574	1.136316898	2.666383206	1.379779936	0.55594308	0.866940123	1.239163179	1.296310477	1.016323385	1.474969292	1.787915673	0.739183647	0.96320676	1.161867285	1.358061128
CO3_MOUSE Complement C3	1.1074793	1.467194906	0.648261443	0.925134071	0.668628941	1.190653182	1.099139928	1.13091745	1.021315809	0.689733758	1.336425949	1.198861949	1.353523851	1.544924588	1.355670654	1.042094822	0.854060414	1.101921846
RO52_MOUSE E3 ubiquitin-protein ligase TRIM21	0.853017853	1.405675911	0.253692467	0.692274668	0.374238275	0.749207746	1.410371534	1.536048054	1.197581899	1.062615766	2.155847423	1.797729941	1.43158246	1.622782333	0.666276889	0.582919671	0.752061226	1.240616206
PDIA6_MOUSE Protein disulfide-isomerase A6	0.989811103	1.759340939	0.367317773	1.098494107	0.847269951	1.634419184	1.240203242	0.970881206	1.026872605	0.857967112	1.352334732	1.161782253	0.977842169	1.966124766	0.94521457	1.20592967	0.881324362	1.518769506
1433S_MOUSE 14-3-3 protein sigma	4.495378928	1.607168689	0.587204586	1.308143795	4.019392817	1.360569259	0.928098797	0.898185325	1.700748086	0.801814023	0.935029602	2.397213962	0.963702211	1.469880979	2.244324788	9.718428032	6.584844194	7.696675941
CALR_MOUSE Calreticulin	0.780324375	2.319349668	0.445239885	0.879257873	0.624824592	1.29325362	1.585078092	1.022035267	0.601352969	0.665234111	1.774049524	1.441407968	0.714399409	1.219868587	0.866571586	1.321662312	0.751282933	1.379983701
GRP78_MOUSE 78 kDa glucose-regulated protein	1.021156056	1.653022866	0.439888296	0.827532544	0.677086181	1.336270531	1.068483267	0.737197246	0.726251814	0.69689649	1.278324619	1.037644418	0.780062459	1.193316124	1.157766277	1.519396763	0.846909108	2.114818826
DHI1_MOUSE Corticosteroid 11-beta-dehydrogenase isozyme 1	1.060227882	1.353564094	0.522462488	1.336888687	0.989821854	1.824350391	1.118310375	0.869190116	0.977414047	1.262697152	1.334229426	1.20269351	1.397401566	1.655571315	0.972731316	1.307058854	1.289192103	1.951940315
EF2_MOUSE Elongation factor 2	1.659079131	1.478524985	0.670349573	1.121942055	1.119390883	1.22612479	1.008492234	1.063463357	1.393572629	1.028379314	1.643809671	1.411252277	1.272431524	1.557124493	1.960912748	1.572158614	2.814268763	8.886027885
PSMD2_MOUSE 26S proteasome non-ATPase regulatory subunit 2	1.067625833	1.249175073	0.411180269	2.106044704	2.636528437	1.957013123	0.981116865	0.833603265	2.772844368	2.566965331	0.967804255	0.927631595	5.069849338	2.376022413	1.342210828	1.219063735	8.218351823	7.841357955
CALX_MOUSE Calnexin	1.104230391	2.006582289	0.387626052	0.830888561	0.490693484	1.068485123	1.401108937	1.076247555	0.8019722	0.785530478	1.529695961	1.347656208	1.444255416	0.981690673	1.315625642	1.910804034	1.311632831	1.099836175
GPX1_MOUSE Glutathione peroxidase 1	0.486884237	0.791210268	2.227987205	1.228192479	1.242647131	1.622830079	0.829412479	0.593975787	0.83968268	1.309005931	0.829444872	1.177001255	1.300728312	1.349347013	0.412502733	0.490584281	0.659678939	0.818476616
RL23_MOUSE 60S ribosomal protein L23	0.902144735	1.232876712	0.707936508	1.518112097	0.85321346	1.312806536	1.125782285	1.017209275	1.222641898	1.374909004	1.123188836	0.947953112	2.381551373	1.725236343	0.497531084	0.470212892	1.022875729	1.624446367
LRP1_MOUSE Prolow-density lipoprotein receptor-related protein 1	1.017785262	1.233976478	0.85783856	0.751817849	0.971644445	1.203032443	1.155426507	1.157201361	0.904484851	0.825221009	1.401798985	1.967727382	0.857803606	0.977066086	1.334917587	2.174991869	0.775117631	0.969927422
B9EJ86_MOUSE Oxysterol-binding protein	0.446888972	0.595079306	1.319208605	1.012480799	1.114419461	1.018810583	0.492764408	0.726880239	0.990525187	1.324619948	0.601613171	0.840958431	1.673294401	1.413515017	0.462294356	0.448088857	0.784568833	1.004416283
S27A5_MOUSE Bile acyl-CoA synthetase	0.727035736	0.975974822	1.02410886	1.48588468	0.938137772	1.371759336	0.751232533	0.607773611	1.105817679	1.221963076	0.647852924	0.677652145	2.006137263	1.348736888	0.601507407	0.699010853	0.860778183	0.92018859
IF4A2_MOUSE Eukaryotic initiation factor 4A-II	1.119000008	1.702544302	0.810060934	1.555358315	1.414350034	1.911472972	0.756856352	1.058401169	2.15683307	1.438587907	1.65539051	1.192463682	1.781377424	2.22627704	1.327789079	1.103765972	5.254687316	17.07908981
CY250_MOUSE Cytochrome P450 2C50	0.7566674	0.750484839	0.997567387	1.36200619	0.84492182	1.79820782	0.796726274	0.392553986	0.950268018	1.069836357	0.800529707	0.686878352	1.168871493	1.36526286	0.584025182	0.756869457	0.522210086	0.923593665
ENPL_MOUSE Endoplasmin	1.028695321	1.601942728	0.309764975	0.697390761	0.600668085	1.142135529	1.078750263	0.848021077	0.990882952	0.835580882	1.44738398	0.996596766	0.856781353	1.369817789	1.091852715	1.498951631	0.833548005	3.024105046
"CPSM_MOUSE Carbamoyl-phosphate synthase [ammonia], mitochondrial"	0.761321323	1.059206155	1.00606585	0.700063832	0.83168128	0.934722477	0.841209462	0.694939975	0.852650501	0.866950365	0.862515644	0.74839856	1.046619465	1.372647566	0.622724534	0.802642028	0.530635753	0.938060824
TBA3_MOUSE Tubulin alpha-3 chain	1.941160425	0.856091202	1.09276382	0.698200047	0.934651657	0.92068509	0.787672349	0.740449064	1.502252506	0.956063296	1.099324774	0.993740169	1.080684885	1.697953759	1.078657059	1.009423401	1.194059335	8.415138486
SYFB_MOUSE Phenylalanine--tRNA ligase beta subunit	0.814134244	1.001594932	0.366659179	0.633978946	0.689995303	0.94413008	0.988783808	0.857231108	1.747351698	0.97287597	1.247322311	1.215221493	1.247741276	1.86475009	0.771262018	1.058163357	1.349788633	3.969331086
PPIA_MOUSE Peptidyl-prolyl cis-trans isomerase A	2.625367994	1.997360592	0.429232619	1.183845004	1.3651038	1.342025862	1.283416238	1.135929532	1.163784307	0.833101689	0.937802107	2.130346169	0.945271816	1.377181562	2.105349878	2.420048571	3.483998944	1.300532196
CP2DQ_MOUSE Cytochrome P450 2D26	0.795507463	1.902760161	0.430416935	1.060918608	0.646675165	1.865276007	1.10064117	0.678002989	0.633737397	0.892498938	0.961225695	0.844559608	0.976575115	1.214061112	0.850827961	1.168954493	0.524678796	1.297975045
G3P_MOUSE Glyceraldehyde-3-phosphate dehydrogenase	1.339300769	1.461209129	0.477225727	1.128149791	0.884554751	1.07505543	1.127642177	1.162989711	1.095001644	0.99761421	1.512671278	1.420000813	0.798475792	1.564951652	1.941834009	1.55779017	1.663021944	0.941510213
RL19_MOUSE 60S ribosomal protein L19	1.21030931	1.485226822	0.683169387	1.010517862	0.524372022	1.048182546	1.373887508	1.347931498	0.914513482	1.034362239	1.589508985	1.322863423	1.28859565	1.440421742	0.689964019	0.653334775	0.601417402	1.005801751
PDIA1_MOUSE Protein disulfide-isomerase	1.084542361	1.99096919	0.356722565	0.972365737	0.494074458	1.691381939	1.440961393	1.052498719	0.700654597	0.747295072	1.404829799	1.12497633	0.922540908	1.293382796	1.181954253	1.458853146	0.723667035	1.737542181
CATA_MOUSE Catalase	0.758353454	1.005182749	0.496469903	0.878815971	0.747485519	0.77049971	0.938937918	0.935108095	0.914074012	0.640178149	1.148814975	1.022097799	0.764576908	1.171039997	0.922591791	0.92433325	0.933342478	1.076529596
HS90A_MOUSE Heat shock protein HSP 90-alpha	1.314074781	1.62325537	0.960687351	0.959987025	0.94828363	1.091138037	1.08859825	1.035424025	1.102974336	0.88028545	1.034883055	1.26091965	1.256580415	1.342697401	1.225145585	1.794908512	1.199544524	4.879102834
SND1_MOUSE Staphylococcal nuclease domain-containing protein 1	1.017324081	1.404305838	0.541155685	0.798944422	0.622472584	1.224690431	1.142457989	1.043797867	0.787276882	0.884608667	1.352949171	1.078346098	1.103494833	1.045973837	1.326063668	1.230597349	0.989854929	1.749352066
RS14_MOUSE 40S ribosomal protein S14	0.850757108	1.177536614	0.788438671	1.512481027	0.740501056	1.374628786	1.079545284	1.015582431	1.592102224	1.463901538	1.215583937	1.000285985	1.798884709	2.073747773	0.416563812	0.474272619	1.085577113	5.409258893
CP237_MOUSE Cytochrome P450 2C37	0.743383077	1.003833471	0.836999071	1.131625198	0.757281127	1.635636094	0.837563076	0.539786136	0.771592307	0.950482061	0.701875845	0.772850569	1.014794496	1.171439152	0.729922749	0.985365836	0.480637224	1.015039293
GBLP_MOUSE Guanine nucleotide-binding protein subunit beta-2-like 1	0.931979932	1.305691628	0.427580653	1.034006022	0.856038589	1.275765392	1.122642962	1.005474921	1.019254504	1.072942488	1.023699657	1.012157719	1.862211596	1.078180953	1.012662975	1.119903528	1.219954782	1.799402396
PPIB_MOUSE Peptidyl-prolyl cis-trans isomerase B	0.948377435	2.119816739	0.304063578	1.051703309	0.937396611	1.832346057	1.852061443	1.090513705	0.725455943	0.87012568	1.588072197	1.422702067	0.974465807	1.350806867	0.852486483	1.122080323	1.050038782	1.404370328
RL12_MOUSE 60S ribosomal protein L12	1.112469849	1.736870751	0.68256038	1.079681106	0.592124369	1.102110019	1.417864862	1.30803026	0.981003455	1.005343609	1.427932055	1.448364032	1.265894233	1.395089025	0.730033988	0.782296463	0.980409248	2.238118522
H2B1F_MOUSE Histone H2B type 1-F/J/L	1.088594705	2.036026781	0.182850547	1.175741471	0.804271965	1.26134722	1.041635062	0.901439996	1.349301184	0.896203028	0.721458392	1.808076163	0.997425883	1.383698049	1.556384421	1.058674917	3.084208712	4.312466932
RL5_MOUSE 60S ribosomal protein L5	1.163327523	1.965120733	0.581421436	0.915884048	0.593028374	1.088158815	1.611637887	1.369585779	0.975755771	0.894212382	1.773253496	1.406219954	1.094670671	1.41077961	0.797654131	0.759761426	0.59758168	1.103549803
"ATPB_MOUSE ATP synthase subunit beta, mitochondrial"	1.650263325	1.917936166	0.373584405	1.263398814	0.967153515	1.536346605	0.960545384	1.135921815	2.136134796	1.170147255	1.614219567	1.219991517	1.302183565	2.191533212	1.058611975	1.533154249	4.336822955	9.271764239
RL15_MOUSE 60S ribosomal protein L15	0.992091414	1.299111253	0.926743814	0.913322926	0.558003379	0.996425708	1.218823598	1.054642902	1.124987694	1.320062846	1.562129891	1.230860931	1.284984961	1.447766922	0.590259646	0.728149139	0.524050623	0.668677834
PDIA4_MOUSE Protein disulfide-isomerase A4	0.866609208	1.847115641	0.337156439	0.911917669	0.567420914	1.585162156	1.258475332	0.948522967	0.774800516	0.745022072	1.426004283	1.047284842	0.739784631	1.150852985	1.298553853	1.60614399	0.786984513	1.685056254
RL36A_MOUSE 60S ribosomal protein L36a	0.956412876	1.259115642	0.802315772	1.019000109	0.555723385	0.997177808	1.225950264	1.096624639	1.023049557	0.947282647	1.30939389	1.0844769	1.116494917	1.515556836	0.416947237	0.465499493	0.840128787	2.755209627
TERA_MOUSE Transitional endoplasmic reticulum ATPase	1.600711189	1.733492774	0.437762271	1.277625258	1.847515457	1.687144198	0.99900874	1.106591876	1.829592319	1.427024451	0.964275318	1.276679438	2.006922963	1.967047662	1.315456569	2.325896264	2.739081141	8.182735695
RL9_MOUSE 60S ribosomal protein L9	0.90262177	1.804164137	0.506375228	1.046396949	0.817826992	1.199329997	1.555483876	1.264002732	0.96196729	1.285028576	1.626488396	1.32864889	1.496152549	1.408661871	0.486709843	0.634149632	0.668102782	0.967230649
HS90B_MOUSE Heat shock protein HSP 90-beta	1.466630092	1.607180167	0.77705669	0.740202442	0.747985888	0.835734359	0.902926236	1.054545991	1.132093302	0.982329268	1.37626274	1.042527774	1.002777757	1.268300738	1.271992914	1.412448135	1.497640339	4.59356935
RL3_MOUSE 60S ribosomal protein L3	1.049628455	1.55852276	0.735512008	0.957366787	0.53099427	0.913920792	1.269528216	1.159989985	1.072352778	0.996703435	1.457902175	1.224188832	1.112391145	1.377847894	0.601723267	0.75645235	0.84157811	0.83975566
RS8_MOUSE 40S ribosomal protein S8	1.047534263	1.362712815	0.610235765	1.021658341	0.589154637	0.981669352	1.254662066	1.041184557	1.061202018	1.264369398	1.437131271	1.125405464	1.286270636	1.461812499	0.469231469	0.445536885	0.372977678	0.808672243
GSTM1_MOUSE Glutathione S-transferase Mu 1	0.46961589	1.039017574	1.031689303	1.400104492	1.262661662	2.214691627	0.6226305	0.564399727	0.780315245	0.747665399	0.411139433	0.46385001	0.995844419	1.241432028	1.313860375	0.69355235	0.598312046	1.090368215
TBB4B_MOUSE Tubulin beta-4B chain	1.836619944	0.859583116	1.091787617	0.772821977	0.811206773	1.001223639	0.776691788	0.946366987	1.52655077	1.060526055	1.056841484	0.934620948	1.096491131	1.851763253	1.079692868	0.863552409	1.55847012	4.84206784
E9Q616_MOUSE Protein Ahnak	4.519989964	1.277836583	0.913348074	1.279598904	1.515378053	1.080590287	1.050337544	1.141301876	1.786799558	0.995754819	0.749982358	1.773637868	1.443517897	1.730039827	1.448995993	3.105007096	4.189705563	2.523535261
RL17_MOUSE 60S ribosomal protein L17	1.123960821	1.435100377	0.705323955	0.998343491	0.492524075	0.861174638	1.476627274	1.147876214	0.895021819	1.065308494	1.429288804	1.280620408	1.187284437	1.343540232	0.556438493	0.522784184	0.497687068	0.811250664
CP2CT_MOUSE Cytochrome P450 2C29	0.89550611	1.269309836	0.446122691	1.031336708	0.594734588	1.321157264	0.755598883	0.753074539	0.963407266	0.954432132	0.836952489	0.790116845	1.106358266	1.17831772	1.019904661	1.306976952	0.925195488	1.415237782
BHMT1_MOUSE Betaine--homocysteine S-methyltransferase 1	0.44846091	0.897214284	1.246275659	0.703107353	0.673895791	1.339073136	1.152964545	0.680632818	1.027502213	0.8155009	0.846813061	0.931275629	1.360462898	1.047369586	1.245111898	0.854211476	1.016982845	1.247313879
SBP2_MOUSE Selenium-binding protein 2	0.616052082	1.350669176	0.921247647	0.873547305	0.875452479	2.135851549	1.466504128	0.602608528	0.734399807	0.727852362	0.960649761	0.982785197	0.813489896	1.25973226	0.907211987	0.910487469	0.763218727	2.581090521
RLA0_MOUSE 60S acidic ribosomal protein P0	1.073871534	1.427546001	0.6090418	1.526072542	1.173345466	1.562847979	1.339847085	1.376081215	1.218940882	2.239382692	1.51609867	1.416932078	2.385241176	1.702985639	0.625162337	0.644829088	0.722810321	1.559055118
RL14_MOUSE 60S ribosomal protein L14	0.863711394	1.572827427	0.522840497	0.851620126	0.582320388	0.963871289	1.565063301	1.416054823	0.974020298	0.989919434	1.692362849	1.327770101	1.06255622	1.532382964	0.618669007	0.572913321	0.392051899	0.878546287
RS20_MOUSE 40S ribosomal protein S20	1.0738343	1.300828132	0.96073903	1.057643506	1.028237998	1.165808203	1.311609177	1.213385406	1.247570758	1.284545818	1.572774692	1.332045597	1.340609752	1.479556849	0.67106188	0.608204163	0.740522984	10.69739044
EST2A_MOUSE Pyrethroid hydrolase Ces2a	0.712080413	1.41860432	0.746235111	1.191390669	0.80586074	1.955272216	0.919808229	0.686652277	0.628728712	0.956659404	0.810637146	0.756849461	0.880387278	1.160661106	1.077719838	1.490543255	0.831149845	1.98645558
RL6_MOUSE 60S ribosomal protein L6	0.952836401	1.69384102	0.610922411	0.870222338	0.559294268	0.903979961	1.567965349	1.332290999	1.008515151	1.037171434	1.583832401	1.331981614	1.169591364	1.502288205	0.506363395	0.504696029	0.490789052	0.799754797
EST1_MOUSE Liver carboxylesterase 1	1.087925601	1.423299648	0.338663041	1.280580324	0.7482367	2.158981396	1.403939372	0.893148768	0.788262219	0.869619593	0.959183079	0.990705477	1.289081632	1.212736942	1.026004521	0.924384937	0.508029577	1.803047104
Q8K154_MOUSE Protein Ugt2b34	0.567970212	1.161375299	0.36278642	1.237019501	0.58672646	1.528266062	0.80725973	0.759661621	1.034194953	1.332873868	0.926454689	0.767443362	1.428949876	1.303321762	0.975779384	1.286778707	0.713751967	1.487832448
ARPC4_MOUSE Actin-related protein 2/3 complex subunit 4	0.885942052	0.608793693	1.47822151	1.458835148	2.875211415	1.407783466	0.568468236	0.65895088	1.287643166	1.390211925	0.527599072	0.87231918	1.405995664	1.583884809	0.587621456	0.704603686	1.952784998	1.50040864
PRDX1_MOUSE Peroxiredoxin-1	0.878858972	0.913301216	1.383752676	0.944721755	1.123783548	0.963496498	0.796245879	0.783287261	1.021601546	0.913706357	0.989043351	1.014221019	0.826340249	1.103201504	0.721212893	1.154794271	1.192500695	0.781031949
RL4_MOUSE 60S ribosomal protein L4	1.047850782	1.316275607	0.532322369	0.977463996	0.580771395	1.182456093	1.40948882	1.05539855	1.037402456	1.025745045	1.381055447	1.124906945	1.203633469	1.352441512	0.635693016	0.646606606	0.410535299	0.783076852
AL3A2_MOUSE Fatty aldehyde dehydrogenase	0.748232546	1.616785659	0.492100576	1.08561691	0.688584821	1.564051754	0.782994662	1.058877372	1.019923818	1.149886191	0.830059947	0.917730917	1.441145705	1.283185792	1.255754216	1.414756828	0.765043785	1.412887678
HSP72_MOUSE Heat shock-related 70 kDa protein 2	0.879440126	0.966392535	1.102841294	1.064551806	1.045992258	1.240847631	0.815336322	0.822442244	1.048587342	0.981805499	0.877068619	1.084509949	0.853804256	1.272039237	1.057399942	0.956790402	1.771332637	4.992174991
MYH9_MOUSE Myosin-9	0.124673587	0.116956647	1.914542625	0.817059265	1.143890533	0.599199613	0.172257086	0.346451338	0.70004995	0.896682036	0.119006831	0.352644519	0.842051952	1.040120834	0.087754414	0.153701335	0.145896674	0.122103573
ASSY_MOUSE Argininosuccinate synthase	0.448725766	0.9138019	1.032243733	1.122219558	0.981118924	1.38881299	1.15386956	0.517370242	0.720458588	0.929360463	0.584131164	0.52313082	1.668326521	0.915743338	0.566982482	0.767184259	0.637802301	0.900659667
RL13_MOUSE 60S ribosomal protein L13	0.907298894	1.474463073	0.830155526	1.040454951	0.569000892	1.030131827	1.384247369	1.239148069	0.945732977	1.112885321	1.352160019	1.262413406	1.210000991	1.369456834	0.469546693	0.505811799	0.782029934	0.847160274
RS9_MOUSE 40S ribosomal protein S9	0.937794043	1.320609861	0.643222336	1.020979305	0.611284615	0.965078432	1.192173288	1.031027343	1.056701919	1.219806126	1.234340608	1.067975097	1.301370905	1.382971172	0.475654979	0.432713258	0.475773415	1.587597976
RAB1A_MOUSE Ras-related protein Rab-1A	1.472252645	1.630905965	0.653823407	0.907598939	1.532688305	1.407805475	1.144426434	1.237005235	1.166460131	0.973877159	1.310083675	1.025622632	1.255493065	1.413981698	1.077661928	1.166128184	2.45717554	4.674586531
E9PV38_MOUSE Protein Ces2g	0.763029866	1.533984021	0.276104314	1.045147193	0.700848661	1.97910597	1.395265018	1.125468739	0.921319447	0.833358699	1.219073298	1.018618938	1.457889435	1.033844994	1.131886031	1.124327189	0.850100013	1.524162572
AT2A2_MOUSE Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	1.036325023	1.321163435	0.607833179	1.114224222	0.722866014	1.69004767	0.930304709	1.006678978	1.347761147	1.14487271	1.150729455	1.03692213	1.31138518	1.386487302	1.074952293	1.479704524	1.193885592	2.2375983
RL7_MOUSE 60S ribosomal protein L7	0.96108613	1.624715764	0.684929238	0.95475536	0.533414487	0.907159873	1.586395371	1.368698196	1.03088039	0.998018273	1.541295558	1.324287439	1.198219849	1.422725726	0.545236513	0.514389041	0.427807011	0.851637477
RL18_MOUSE 60S ribosomal protein L18	0.777059268	1.587858945	0.569986784	1.184108479	0.645723584	1.426186159	1.317901341	1.310765349	1.298506635	1.30906864	1.330654297	1.329658777	1.551483521	1.544554585	0.608228489	0.542013525	0.638283408	1.093803877
RS15A_MOUSE 40S ribosomal protein S15a	1.09070199	1.363885068	0.713666613	1.119110181	0.715411661	1.37544476	1.293787168	1.297648064	1.483998551	1.194353466	1.362175857	1.233130386	1.634187373	1.559961392	0.648263987	0.568558093	1.244870058	7.652297867
CP2D9_MOUSE Cytochrome P450 2D9	0.849215461	1.750727134	0.48021814	0.959169761	0.647743108	1.836612206	1.16493813	0.806174257	0.640173908	0.720918731	1.066315857	0.859312412	0.741216887	0.980941655	1.088499809	1.383250415	0.520410107	1.211285962
VIGLN_MOUSE Vigilin	0.89795718	1.077981124	0.687482109	0.893036627	0.572074886	1.164353501	1.310275949	0.965188267	1.024576726	1.128685116	1.23901856	1.159140248	1.160002387	1.286934723	0.91162195	1.000908895	0.670200744	2.622306667
TECR_MOUSE Very-long-chain enoyl-CoA reductase	0.572845322	0.561554775	0.912234468	1.889190784	1.038179264	1.451812307	0.510497862	0.576913048	1.912958696	1.697504917	0.362017175	0.440220074	2.630266929	1.689328463	0.672457671	0.718163961	2.776945771	1.171730823
RS26_MOUSE 40S ribosomal protein S26	1.038367384	1.69060645	0.683675776	0.977598205	0.522559534	0.866531421	1.295751813	1.14846369	1.128437901	1.135531213	1.526737674	1.137567094	1.170173004	1.295277869	0.47357947	0.579524477	0.494549863	1.478560909
Q5XJF6_MOUSE Ribosomal protein	1.136872728	1.824669609	0.537194553	1.013092676	0.714746137	1.006287436	1.826749038	1.506977338	1.044345965	1.35080072	1.707569925	1.477801517	1.522026594	1.532648817	0.653101674	0.63550212	0.669316173	1.199748599
CP2DA_MOUSE Cytochrome P450 2D10	0.91796044	2.264932823	0.431260496	1.035250002	0.683794802	1.787154093	1.228190894	0.91930864	0.729174803	0.992764842	1.303937302	0.949668781	0.852760641	1.108208404	1.190627916	1.484241463	0.694537067	1.40276492
RL10_MOUSE 60S ribosomal protein L10	1.057068535	1.206486439	0.693348388	1.597968882	0.89956922	1.398131891	1.138296641	1.015821118	2.286108189	1.429323617	1.247973237	1.083857313	1.931010279	2.119893395	0.461108496	0.501332557	1.474054736	2.10218868
RAB5A_MOUSE Ras-related protein Rab-5A	1.62667847	1.48991585	0.796702965	2.25491635	2.329052549	2.840256847	0.880364259	0.936567443	4.18512209	3.999685493	1.331641087	0.938727189	3.194513607	5.334067182	0.907283768	1.109073424	2.946577556	4.468081946
RS2_MOUSE 40S ribosomal protein S2	0.984413154	1.29934987	0.976054342	1.081619426	0.703798838	0.964134306	1.289937563	1.174522233	1.120541315	1.138123354	1.375997397	1.085747988	1.214837409	1.414893301	0.469673037	0.452438834	0.707300976	2.459541095
ALDOA_MOUSE Fructose-bisphosphate aldolase A	4.98592197	2.132490327	0.492208736	1.122596868	2	1.290004512	1.274437069	1.4937711	1.312618987	1.153327244	1.292608311	1.648629429	0.894504297	1.805487999	1.375585696	2.219257892	9.488670753	1.293503978
RS7_MOUSE 40S ribosomal protein S7	0.992217354	2.16078596	0.714296458	0.761360686	0.447284336	0.801107289	1.752835419	1.147441783	0.55470834	0.514515988	1.396005492	1.430310344	0.676090799	0.775134454	0.890413355	0.946369702	0.567805848	0.721140561
RS11_MOUSE 40S ribosomal protein S11	1.068389758	1.805231283	0.737850576	1.137681801	0.738689176	1.030458549	1.265506809	1.207600167	1.006078006	1.207571354	1.284557678	1.170615722	1.145801964	1.448965302	0.589301866	0.535886414	0.473245575	1.363522269
RDH7_MOUSE Retinol dehydrogenase 7	0.884205015	1.874036985	0.483062817	1.157769235	0.70425487	1.725647639	1.320163146	1.041402493	0.866231933	0.868939283	1.178268311	0.868330393	1.073609421	1.285092543	1.176974758	1.516426802	0.836853375	1.413806025
RS19_MOUSE 40S ribosomal protein S19	0.822178431	1.448381701	0.777402537	1.424095577	0.578867372	1.588451574	1.222567214	1.272450668	1.142366175	1.570464657	1.2366328	1.445410224	1.546871827	1.364685829	0.839046458	0.539524208	0.523238999	0.87033174
MYL6_MOUSE Myosin light polypeptide 6	0.280839887	0.157328271	2.691975988	1.079746433	1.456633164	0.810631679	0.379384601	0.47855354	0.703796439	1.406726838	0.23798525	0.456697134	1.232446476	1.249348997	0.150127876	0.201292051	0.355317607	0.231032532
